name,mfr,mfrcode,type,typecode,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
Count Chocula,G,2,C,1,109.6,0.6,0.6,179.6,0,12,13,65,25,2,1,1,22.396513
Cracklin' Oat Bran,K,3,C,1,109.7,2.7,2.7,139.7,3.7,10,7,160,25,3,1,0.5,40.448772
Cream of Wheat (Quick),N,4,H,2,99.4,2.4,0,79.4,0.4,21,0,-1,0,2,1,1,64.533816
Crispix,K,3,C,1,110.1,2.1,0.1,220.1,1.1,21,3,30,25,3,1,1,46.895644
Crispy Wheat & Raisins,G,2,C,1,100.2,2.2,1.2,140.2,2.2,11,10,120,25,3,1,0.75,36.176196
Double Chex,R,7,C,1,100.1,2.1,0.1,190.1,1.1,18,5,80,25,3,1,0.75,44.330856
Froot Loops,K,3,C,1,111.3,3.3,2.3,126.3,2.3,11,13,30,25,2,1,1,32.207582
Frosted Flakes,K,3,C,1,108.5,0,0,198.5,0,14,11,25,25,1,1,0.75,31.435973
Frosted Mini-Wheats,K,3,C,1,101.1,4.1,1.1,1.1,4.1,14,7,100,25,2,1,0.8,58.345141
Fruit & Fibre Dates; Walnuts; and Oats,P,5,C,1,121.4,4.4,3.4,161.4,6.4,12,10,200,25,3,1.25,0.67,40.917047
Fruitful Bran,K,3,C,1,118.8,1.8,0,238.8,3.8,14,12,190,25,3,1.33,0.67,41.015492
Fruity Pebbles,P,5,C,1,109,0,0,134,0,13,12,25,25,2,1,0.75,28.025765
Golden Crisp,P,5,C,1,98.7,0.7,0,43.7,0,11,15,40,25,1,1,0.88,35.252444
Golden Grahams,G,2,C,1,110.3,1.3,1.3,280.3,0.3,15,9,45,25,2,1,0.75,23.804043
Grape Nuts Flakes,P,5,C,1,99.5,2.5,0.5,139.5,2.5,15,5,85,25,3,1,0.88,52.076897
Grape-Nuts,P,5,C,1,110.5,3.5,0.5,170.5,3.5,17,3,90,25,3,1,0.25,53.371007
Great Grains Pecan,P,5,C,1,121.3,4.3,4.3,76.3,4.3,13,4,100,25,3,1,0.33,45.811716
Honey Graham Ohs,Q,6,C,1,120.6,1.6,2.6,220.6,1.6,12,11,45,25,2,1,1,21.871292
Honey Nut Cheerios,G,2,C,1,110.5,3.5,1.5,250.5,2,11.5,10,90,25,1,1,0.75,31.072217
Honey-comb,P,5,C,1,110.9,1.9,0.9,180.9,0.9,14,11,35,25,1,1,1.33,28.742414
Just Right Crunchy  Nuggets,K,3,C,1,110.1,2.1,1.1,170.1,1.1,17,6,60,100,3,1,1,36.523683
Just Right Fruit & Nut,K,3,C,1,139.6,2.6,0.6,169.6,1.6,20,9,95,100,3,1.3,0.75,36.471512
Kix,G,2,C,1,108.3,0.3,0,258.3,0,21,3,40,25,2,1,1.5,39.241114
Life,Q,6,C,1,98.8,2.8,0.8,148.8,0.8,12,6,95,25,2,1,0.67,45.328074
Lucky Charms,G,2,C,1,109.3,1.3,0.3,179.3,0,12,12,55,25,2,1,1,26.734515
Maypo,A,1,H,2,101.8,5.8,2.8,1.8,1.8,16,3,95,25,2,1,1,54.850917
Muesli Raisins; Dates; & Almonds,R,7,C,1,150.9,4.9,3.9,95.9,3.9,16,11,170,25,3,1,1,37.136863
Muesli Raisins; Peaches; & Pecans,R,7,C,1,150.7,4.7,3.7,150.7,3.7,16,11,170,25,3,1,1,34.139765
Mueslix Crispy Blend,K,3,C,1,157.6,0.6,0,147.6,0.6,17,13,160,25,3,1.5,0.67,30.313351
Multi-Grain Cheerios,G,2,C,1,100,2,1,220,2,15,6,90,25,1,1,1,40.105965
Nut&Honey Crunch,K,3,C,1,119.5,1.5,0.5,189.5,0,15,9,40,25,2,1,0.67,29.924285
Nutri-Grain Almond-Raisin,K,3,C,1,139.2,2.2,1.2,219.2,2.2,21,7,130,25,3,1.33,0.67,40.69232
Nutri-grain Wheat,K,3,C,1,89.4,2.4,0,169.4,2.4,18,2,90,25,3,1,1,59.642837
Oatmeal Raisin Crisp,G,2,C,1,130.3,3.3,2.3,170.3,1.8,13.5,10,120,25,3,1.25,0.5,30.450843
Post Nat. Raisin Bran,P,5,C,1,119.3,2.3,0.3,199.3,5.3,11,14,260,25,3,1.33,0.67,37.840594
Product 19,K,3,C,1,99,2,0,319,0,20,3,45,100,3,1,1,41.50354
Puffed Rice,Q,6,C,1,50.1,1.1,0.1,0.1,0.1,13,0,15,0,3,0.5,1,60.756112
Puffed Wheat,Q,6,C,1,49,1,0,0,0,10,0,50,0,3,0.5,1,63.005645
Quaker Oat Squares,Q,6,C,1,99.3,3.3,0.3,134.3,1.3,14,6,110,25,3,1,0.5,49.511874
Quaker Oatmeal,Q,6,H,2,100.4,5.4,2.4,0.4,3.1,-1,-1,110,0,1,1,0.67,50.828392
Raisin Bran,K,3,C,1,119.9,2.9,0.9,209.9,4.9,14,12,240,25,2,1.33,0.75,39.259197
Raisin Nut Bran,G,2,C,1,99,2,1,139,1.5,10.5,8,140,25,3,1,0.5,39.7034
Raisin Squares,K,3,C,1,87.8,0,0,0,0,15,6,110,25,3,1,0.5,55.333142
Rice Chex,R,7,C,1,108.8,0,0,238.8,0,23,2,30,25,1,1,1.13,41.998933
Rice Krispies,K,3,C,1,108.9,0.9,0,288.9,0,22,3,35,25,1,1,1,40.560159
Shredded Wheat,N,4,C,1,81,3,1,1,4,16,0,95,0,1,0.83,1,68.235885
Shredded Wheat 'n'Bran,N,4,C,1,90.5,3.5,0.5,0.5,4.5,19,0,140,0,1,1,0.67,74.472949
Shredded Wheat spoon size,N,4,C,1,90.1,3.1,0.1,0.1,3.1,20,0,120,0,1,1,0.67,72.801787
Smacks,K,3,C,1,108.7,0.7,0,68.7,0,9,15,40,25,2,1,0.75,31.230054
Special K,K,3,C,1,109,5,0,229,0,16,3,55,25,1,1,1,53.131324
Strawberry Fruit Wheats,N,4,C,1,88.3,0.3,0,13.3,1.3,15,5,90,25,2,1,1,59.363993
Total Corn Flakes,G,2,C,1,110,2,1,200,0,21,3,35,100,3,1,1,38.839746
Total Raisin Bran,G,2,C,1,140.5,3.5,1.5,190.5,4.5,15,14,230,100,3,1.5,1,28.592785
Total Whole Grain,G,2,C,1,100.1,3.1,1.1,200.1,3.1,16,3,110,100,3,1,1,46.658844
Triples,G,2,C,1,111,3,2,251,1,21,3,60,25,3,1,0.75,39.106174
Trix,G,2,C,1,109.6,0.6,0.6,139.6,0,13,12,25,25,2,1,1,27.753301
Wheat Chex,R,7,C,1,101.2,4.2,2.2,231.2,4.2,17,3,115,25,1,1,0.67,49.787445
Wheaties,G,2,C,1,100.1,3.1,1.1,200.1,3.1,17,3,110,25,1,1,1,51.592193
Wheaties Honey Gold,G,2,C,1,109.9,1.9,0.9,199.9,0.9,16,8,60,25,1,1,0.75,36.187559
